label	text_a
1	很好，很棒棒
1	老师们都讲得非常好
1	对于计算机的认识又上了一个层次。
0	very good
0	very good
1	超级好哦 学到了很多
1	学习了开网店的必备知识
0	好多内容讲的都太少了，感觉老师不熟练。
0	课程内容还是不够详实，有些重点内容可以细分细讲
0	《语文课程标准》解读的非常详细，我很喜欢。
0	.......
1	很好，能够了解小学数学课程教学。
0	整个团队这样糊弄，缺乏责任心，全程念PPT，放在网上，唉
1	收获很大 视屏很细致
0	太好了吧啊
0	OK，，，，，
0	very good
0	为什么不更新课程了？？？？
0	太喜欢小郑老师的课了。
0	差的不像样子
0	通过不断地学习与练习越来越标准 的普通话让我更加的了解到这门课的重要性，真的不错。
1	知识增长了
0	关爱他人，我们在行动
0	1111111
0	有的时候在电脑端看完视频，却没有显示完成
1	好好画图，天天向上
1	感觉很好。
1	非常有优点
1	网课还可以
0	简单干练，可以快速了解重点难点
1	我感觉内容很充实，就是提交视频的大小太小了
1	希望老师们能补充一下大气边界层章节的部分，谢谢！
1	好，有很大的收获
0	baobaobbu1213
1	觉得学到了很多东西
0	6.67E+20
1	本课程是为教育学专业学生开设的一门专业课，也是小学数学教师职业培训的核心课程之一。通过各个教学环节，使学生获得数学教育的新思想、新观念，逐步培养学生的教材分析能力、数学教学能力和数学教育研究能力，
0	测试题不好
1	作为一个从学校到企业的南林人，深感基础知识的重要性！很开心能有机会再次跟着各位教授重学《人造板工艺学》这门课程。受益匪浅。
1	老师幽默风趣有独到的见解
0	药理学好难呀
0	You are so good.
1	这次课程真的让我受益匪浅，首先作为一个女生，我很喜欢旗袍这种能突显中华女性之美的服装，我觉得这不仅仅是一件服装，更是一份需要我们去传承下来的文化。作为新时代的大学生，我们有责任去深入学习这项旗袍文化，并在有能力的条件下，做出自己的创新，将传统海派旗袍文化与新时代的时尚特色结合起来，将旗袍文化推出国门，走向世界。感谢范老师的教导！
1	此次的课程让我收获了很多，通过旗袍不仅了解女性的魅力，而且学习到有关很多的传统文化。老师人很好超级温柔，讲的也很细致，我收获很多很多。旗袍真的太有韵味和魅力了，忍不住的感叹！学习了这一门课程对我今后的人生道路有非常大的指导作用。
1	内容充实清晰
1	可以 嘿嘿嘿
1	自我感觉良好
1	学有所获，超级棒，希望有更多的人可以借此了解林产化工这个专业。
0	very good
1	内容简洁易懂
1	学习并交流了有关篮球运动方面的知识
0	学到了古代文学作品的鉴赏方法
1	课程结构设置、授课人员组成、知识结构、知识点、授课方法等符合现代教学发展的需要、课程充分地反映了课程组的积极努力和认真负责精神、特别是能听到院士、资深教授、留学归国人员、知识精英的讲课，收获巨大！可谓是精品课中的精品！
1	挺好的课程
0	6.67E+15
1	okkkkk
0	feichanghao
0	呃呃呃呃呃呃呃
1	真的十分不错
0	合。两手由上分开。复从下相合。结成一十字形。全身坐在左脚。右脚即提起。向左收回半步。两脚直踏。如起式。此一闭一合劲也。际我用开劲分敌之手时。正恐敌先乘虚由我胸部袭击。故我即结两手成一合劲。其时手心朝里。将敌之臂棚住。如敌变双手来按。我即用双手将敌手由内往左右分开。手心朝上。或向下均可。惟结成十字手时。同时腰膝稍松。往下一沉。则敌所向之力。即自散失不整矣。” 
1	旗袍是中国女性传统的服饰，代表着东方之美。我有幸能够学习到这门课程。课程设置得合理，每章结构明确，老师讲得很好。这门课程不仅让我感受到了旗袍的美，而且还让我学习到了许多关于旗袍制作设计等知识。这更是让我体会到了传统文化的博大精深。我觉得我们更应该通过这门课程懂得把传统文化发扬光大，顺应时代潮流。学习了这门课，我受益匪浅。
0	视频课程太紧凑，内容量太大，例题讲解太少
1	好好好好好
1	老师讲的很好
1	小郑老师好帅啊，讲的课也好！！！！！！
1	非常好   思路清晰
1	非常好，爱听
1	非常有意思，能够使我们身体协调，锻炼我们的兴趣。
0	作业内容和数量适中
1	老师讲得非常好
1	课程形式多样，内容新颖，有助于数学课程的学习和研究
1	好东西，谁用谁知道
1	受益匪浅啊！
0	请问用什么教材比较好呀
1	效果真的很好
1	不错不错!
1	老师讲的非常好，由浅入深，图文并茂
0	了解了开网店也不容易
0	@@75696wxy
1	课程很好，老师讲的很详细，不会的还会及时解决
0	女老师好看，男老师差评，内容中规中矩。知识量 : java内容还行
1	可以学习到一些基本概念
0	very good.
0	为什么没有语音？只有滋滋声
1	好，很好，非常好
1	很有启发性
0	无无无无无
0	呵呵哒sdujiyvgbhnjASDOI
0	方便对一些重难点进行重新理解学习，老师们讲的也很详细
1	课程很有趣，老师讲得很有意思
1	好，很好，非常好。
1	期待大神之作
0	666666
1	学习感受良好
0	。。。。。。
0	给一星算是同情了
1	老师讲得非常好！
0	henhao
0	总体还行吧
0	hhhhgg
0	I have learned a lot from it 
0	课程很好 但是对英语不好的人来说难度较大
0	Fantastic!
0	老师讲课情景设计现实，讲解、板书、举例结合非常好，是我看过最好的网络课程
0	江苏科技大学物理杠杠滴，另外，如果可以推送提交作业提醒到手机桌面就更好了
1	期待老师第一次网课。
0	......
0	每次作业题目是一道判断题，可以做三次。。。
0	太好啦aaaaaaa
0	的都是 都是
0	三位老师都讲得非常好！谢谢你们，也谢谢慕课这个平台让我在工作之余还能学习到这样优秀的课程。另外，就是不知道怎样互评？下载的天气图底图打印在A4纸上时只是底图的一部分，没法用铅笔画。请老师或同学帮我解答一下。十分感谢！！
1	可以培养自己的批判性思维能力
1	独特的视角，全新的解读。
0	excellent
1	课程安排很好
